gammarus,inf_status,temp,Expr2,resprate,aver,ass,
15IK,I,15,92.35414027,2.47561E-05,0.876732009,0.809673554,
03UB,U,03,89.73404575,0.000193373,0.555881792,0.498621848,
03UI,U,03,85.58710453,0.000245895,1.005389005,0.860237443,
03UO,U,03,76.25798212,0.002418193,0.114971709,0.085256913,
09IG,I,09,90.61713115,0.002446347,0.209789461,0.187658844,
03IG,I,03,94.04090026,0.002497725,1.14756956,1.07668702,
03IB,I,03,82.26735236,0.003509025,0.447126489,0.364330099,
06IN,I,06,97.93614474,0.003892797,0.242257362,0.233364724,
03UE,U,03,84.57678186,0.004386475,0.823735589,0.692302577,
06IL,I,06,104.2633229,0.00524183,0.799457741,0.828299377,
12UN,U,12,78.37670119,0.007170625,0.194943001,0.145619269,
06UF,U,06,89.13018746,0.007277789,0.40334171,0.352221434,
06UK,U,06,98.48432078,0.00734221,0.258712405,0.247448945,
09UO,U,09,85.06330617,0.007378407,0.426406239,0.355336837,
12IC,I,12,94.65801155,0.007536716,0.739520844,0.69247901,
09IO,I,09,94.58990417,0.007625163,0.640146906,0.597889182,
06UH,U,06,92.64046129,0.007972364,0.271898913,0.243916042,
03UC,U,03,76.84242796,0.00826227,0.544301342,0.409992097,
06IB,I,06,92.88652854,0.008479661,0.373412674,0.338370409,
09IL,I,09,84.58563052,0.008609649,0.308440812,0.252286957,
12UO,U,12,94.44558336,0.00952652,0.691847142,0.643892549,
03UH,U,03,77.97525027,0.009774711,0.674870448,0.51645721,
06IM,I,06,97.37684476,0.010462141,0.862158372,0.829080478,
03IN,I,03,88.68101029,0.010670797,0.296969554,0.252684804,
06UA,U,06,90.35811067,0.010835123,0.419945039,0.36861928,
09IA,I,09,95.05527812,0.010896815,0.211953511,0.190576184,
06IK,I,06,87.1071804,0.011980231,0.174615558,0.140122458,
09UE,U,09,95.67798245,0.011983301,0.521672051,0.487141993,
03IE,I,03,30.15223717,0.012127515,0.136012634,0.028883337,
09IE,I,09,96.2939058,0.012159251,0.478590841,0.448694563,
06IH,I,06,92.47447321,0.012474171,0.679760295,0.616130581,
06IO,I,06,90.87791495,0.012706441,0.511612837,0.452236638,
03IM,I,03,76.08574259,0.012796393,0.308776838,0.222138757,
06UJ,U,06,88.85266965,0.012965484,0.328261404,0.278703536,
12IA,I,12,93.52523472,0.013531484,0.773602913,0.709982456,
09UG,U,09,80.49003042,0.014194535,0.285848697,0.215885168,
15UE,U,15,62.18316701,0.014469344,0.296900578,0.170152838,
06ID,I,06,92.25736439,0.015386932,0.333443046,0.292238834,
06UO,U,06,96.07342007,0.015486652,0.320265424,0.292203294,
09UL,U,09,82.44458944,0.015875981,0.244296592,0.185533341,
09IB,I,09,96.72019443,0.016510325,0.359158719,0.330868686,
09UM,U,09,77.52444933,0.016857042,0.137215271,0.089518341,
09UD,U,09,73.48815388,0.017248828,0.105736875,0.06045525,
06UC,U,06,95.77706513,0.017571175,0.623861188,0.579944761,
06IG,I,06,94.76635859,0.017644005,1.04732529,0.974868036,
12UI,U,12,85.50930997,0.017732626,0.335157606,0.26885833,
03UJ,U,03,78.37924613,0.018348384,0.519706195,0.388993414,
12UF,U,12,95.94917983,0.018512498,0.562463207,0.521166336,
03UL,U,03,74.65251376,0.019104441,0.208096799,0.136245051,
09IC,I,09,100.0414674,0.021683875,0.510728352,0.489256263,
09UF,U,09,92.55364273,0.021743088,0.25610115,0.215287856,
03UK,U,03,79.29852554,0.022082256,0.270075111,0.192083325,
09UA,U,09,86.51898636,0.022350853,0.245812376,0.190323523,
18IC,I,18,87.1664528,0.023081051,0.743809454,0.625271266,
15UB,U,15,93.89346811,0.023442689,0.916974797,0.837536749,
12IG,I,12,93.58268464,0.02368821,0.644495672,0.579448143,
06UD,U,06,95.68446296,0.024040115,1.277591743,1.198416683,
12IL,I,12,88.97893473,0.024315077,0.458635614,0.383774007,
12IN,I,12,87.91772617,0.024478101,0.427399945,0.351282212,
18IJ,I,18,86.44627559,0.024722107,0.990576244,0.831594162,
09UC,U,09,95.48838027,0.025980545,0.391450533,0.347809228,
12IO,I,12,86.56546359,0.029358778,0.332251269,0.258256073,
18IK,I,18,88.18305644,0.030155894,0.853453588,0.722445565,
12UE,U,12,85.44580544,0.030664874,0.599390913,0.481489519,
15IG,I,15,90.37827863,0.033830147,0.642729315,0.547057545,
15UO,U,15,96.3303475,0.034493483,0.60410376,0.547441768,
18UF,U,18,86.3557197,0.037221615,0.450287161,0.351627104,
09UN,U,09,93.33827775,0.037428908,0.307976703,0.250031243,
12UM,U,12,88.81622185,0.038633345,0.738749875,0.617496383,
12UH,U,12,81.66691128,0.038959065,0.333492894,0.233394281,
12UB,U,12,95.98014917,0.039142008,1.285615809,1.194793963,
18IM,I,18,88.08826267,0.041235122,0.604281615,0.491066054,
15UA,U,15,97.47878466,0.04217953,0.421296709,0.368495381,
18UN,U,18,83.20123131,0.04275012,0.524088449,0.393297923,
15IC,I,15,92.54670225,0.042868605,0.347710239,0.278925755,
15IM,I,15,93.32206117,0.04407065,0.621176534,0.535624094,
15UD,U,15,93.83678605,0.04485075,0.48052583,0.406059245,
18IN,I,18,59.55899242,0.051038047,0.705092012,0.368907651,
15UM,U,15,92.91950874,0.052822065,0.760998159,0.654293685,
18UA,U,18,76.28591362,0.054620374,0.723501734,0.497309534,
18IB,I,18,94.17540587,0.063335922,0.393566698,0.307307114,
15IL,I,15,93.06890364,0.068740583,0.793950597,0.670180533,
15II,I,15,90.18469242,0.144872627,1.400269921,1.117956494,
03ID,I,03,94.34179945,0.250905801,0.784101771,0.488829919,
