gammarus,inf_status,temp,init_wet_gam,wet_gam,weight_change,days_inexpt,rate
03IN,I,03,0.0195,0.02,0.0002,10,2E-05
03IO,I,03,0.0193,0.02,0.0039,10,0.00039
03IM,I,03,0.0187,0.02,0.0044,10,0.00044
03IJ,I,03,0.0196,0.02,0.0016,10,0.00016
03IH,I,03,0.0112,0.01,0.0008,10,8E-05
03IG,I,03,0.0132,0.01,-0.0027,10,-0.00027
03IF,I,03,0.0167,0.02,0.0025,10,0.00025
03IE,I,03,0.017,0.02,0.0029,10,0.00029
03ID,I,03,0.01,0.01,-0.0006,10,-6E-05
03IB,I,03,0.0198,0.02,0.0009,10,9E-05
03IA,I,03,0.0106,0.01,-1E-04,10,-1E-05
03UO,U,03,0.0172,0.02,-0.0005,10,-5E-05
03UE,U,03,0.0163,0.02,-0.0004,10,-4E-05
03UB,U,03,0.0161,0.02,0.0006,10,6E-05
03UN,U,03,0.0198,0.02,0.004,10,0.0004
03UD,U,03,0.0105,0.01,0.0005,10,5E-05
03UA,U,03,0.0157,0.01,-0.0024,10,-0.00024
03UH,U,03,0.0136,0.02,0.005,10,0.0005
03UI,U,03,0.0122,0.01,0.0021,10,0.00021
03UJ,U,03,0.0155,0.02,1.38778E-17,10,1.38778E-18
03UK,U,03,0.0129,0.01,0.0009,10,9E-05
03UL,U,03,0.0165,0.02,0.0012,10,0.00012
03UM,U,03,0.0121,0.02,0.0075,10,0.00075
03UC,U,03,0.0159,0.01,-0.0013,10,-0.00013
06II,I,06,0.01,0.01,-0.0017,9,-0.000188889
06IH,I,06,0.0116,0.01,-0.0002,9,-2.22222E-05
06IG,I,06,0.0103,0.01,0.0002,9,2.22222E-05
06ID,I,06,0.0196,0.02,0.0026,9,0.000288889
06IB,I,06,0.0198,0.02,0.0038,9,0.000422222
06UO,U,06,0.0198,0.02,0.0005,9,5.55556E-05
06UK,U,06,0.0196,0.02,0.0014,9,0.000155556
06UJ,U,06,0.0199,0.02,0.0031,9,0.000344444
06IK,I,06,0.0135,0.01,-0.0012,9,-0.000133333
06UF,U,06,0.0173,0.02,0.0044,9,0.000488889
06UA,U,06,0.0151,0.01,-0.0003,9,-3.33333E-05
06UH,U,06,0.0179,0.02,0.0011,9,0.000122222
06IL,I,06,0.0124,0.01,-0.0006,9,-6.66667E-05
06IM,I,06,0.0153,0.01,-0.0018,9,-0.0002
06IN,I,06,0.0199,0.03,0.0055,9,0.000611111
06IO,I,06,0.0159,0.02,0.0003,9,3.33333E-05
06UC,U,06,0.0174,0.02,0.0026,9,0.000288889
06UD,U,06,0.0101,0.01,-0.0021,9,-0.000233333
09IA,I,09,0.0143,0.02,0.0014,8,0.000175
09UM,U,09,0.0199,0.03,0.0078,8,0.000975
09UN,U,09,0.0198,0.02,0.0034,8,0.000425
09UO,U,09,0.0148,0.01,-2.08167E-17,8,-2.60209E-18
09UD,U,09,0.0177,0.02,0.0008,8,0.0001
09UL,U,09,0.0196,0.02,-0.002,8,-0.00025
09UK,U,09,0.0128,0.01,-0.0009,8,-0.0001125
09UG,U,09,0.0121,0.01,0.001,8,0.000125
09IB,I,09,0.0198,0.02,0.003,8,0.000375
09UE,U,09,0.0163,0.02,0.0012,8,0.00015
09IG,I,09,0.0199,0.02,0.002,8,0.00025
09UC,U,09,0.013,0.01,0.0016,8,0.0002
09UA,U,09,0.0191,0.02,0.0005,8,6.25E-05
09UF,U,09,0.0198,0.02,0.0034,8,0.000425
09ID,I,09,0.0179,0.02,0.0025,8,0.0003125
09IE,I,09,0.0199,0.02,0.0043,8,0.0005375
09IC,I,09,0.0169,0.02,0.0019,8,0.0002375
09IL,I,09,0.0169,0.02,0.002,8,0.00025
09IO,I,09,0.0101,0.01,-0.0003,8,-3.75E-05
12IG,I,12,0.0114,0.01,-0.0011,7,-0.000157143
12IO,I,12,0.0185,0.02,0.0007,7,1E-04
12IN,I,12,0.0182,0.02,0.0011,7,0.000157143
12IH,I,12,0.0197,0.02,0.0029,7,0.000414286
12IC,I,12,0.0137,0.01,-0.0019,7,-0.000271429
12IA,I,12,0.0141,0.01,-0.0005,7,-7.14286E-05
12UO,U,12,0.0101,0.01,-0.0003,7,-4.28571E-05
12UM,U,12,0.0122,0.01,0.0011,7,0.000157143
12UI,U,12,0.0196,0.02,0.0027,7,0.000385714
12UH,U,12,0.0123,0.01,0.0006,7,8.57143E-05
12UF,U,12,0.0154,0.02,0.0027,7,0.000385714
12UE,U,12,0.0154,0.02,0.0008,7,0.000114286
12UB,U,12,0.01,0.01,0.0028,7,0.0004
12UN,U,12,0.0198,0.02,0.0017,7,0.000242857
12IL,I,12,0.0199,0.02,0.0019,7,0.000271429
15UD,U,15,0.015,0.01,-0.0014,8,-0.000175
15IM,I,15,0.0107,0.01,0.0007,8,8.75E-05
15IL,I,15,0.0105,0.01,0.0008,8,0.0001
15IK,I,15,0.012,0.01,0.0011,8,0.0001375
15II,I,15,0.0151,0.01,-0.0009,8,-0.0001125
15IG,I,15,0.0149,0.01,-0.0009,8,-0.0001125
15IC,I,15,0.0179,0.02,0.0052,8,0.00065
15UO,U,15,0.0119,0.01,0.0016,8,0.0002
15UA,U,15,0.0127,0.01,-0.0015,8,-0.0001875
15UM,U,15,0.0125,0.01,0.0004,8,5E-05
15UE,U,15,0.0146,0.01,-0.0022,8,-0.000275
15UC,U,15,0.0148,0.02,0.0021,8,0.0002625
15UB,U,15,0.0177,0.02,-0.0003,8,-3.75E-05
18_2IJ,I,18,0.0163,0.02,0.0011,9,0.000122222
18IB,I,18,0.0198,0.02,0.0013,9,0.000144444
18_2IG,I,18,0.0199,0.02,0.0038,9,0.000422222
18_2IB,I,18,0.0101,0.01,-0.0013,9,-0.000144444
18_2UO,U,18,0.0198,0.02,0.0012,9,0.000133333
18_2UM,U,18,0.0129,0.02,0.0022,9,0.000244444
18_2UK,U,18,0.0123,0.01,-0.0021,9,-0.000233333
18_2UE,U,18,0.01,0.01,0.0004,9,4.44444E-05
18IN,I,18,0.0104,0.01,-0.0011,9,-0.000122222
18IM,I,18,0.016,0.01,-0.0013,9,-0.000144444
18IK,I,18,0.0172,0.01,-0.0025,9,-0.000277778
18IC,I,18,0.01,0.01,-0.0008,9,-8.88889E-05
18UN,U,18,0.0159,0.02,0.0021,9,0.000233333
18UF,U,18,0.0199,0.02,-0.001,9,-0.000111111
18UA,U,18,0.0176,0.02,0.0007,9,7.77778E-05
18_2IL,I,18,0.02,0.02,0.0024,9,0.000266667
18IJ,I,18,0.0104,0.01,-0.0011,9,-0.000122222
