gammarus,inf_status,temp,blank_ref,blanks,dryweight_mg,saturation,volume_liter,change_percent,time_h,resprate
15IK,I,15,15blank6_1,16.5869751,1.9,10.211,0.0062,0.16,0.61,2.48E-05
03UB,U,3,03BLANK4_1,0.179932331,2.2,13.295,0.007,0,0.44,0.000193373
03UI,U,3,03BLANK4_1,0.179932331,1.7,13.295,0.007,0,0.44,0.000245895
03UO,U,3,03BLANK2_1,1.115580451,2.5,13.295,0.0086,0.01,0.44,0.002418193
09IG,I,9,09_blank_1,1.85443975,4.1,11.726,0.0054,0.02,0.44,0.002446347
03IG,I,3,03BLANK2_1,1.115580451,2.1,13.295,0.0071,0.01,0.44,0.002497725
03IB,I,3,03BLANK4_1,0.179932331,3.6,13.295,0.006,0.01,0.44,0.003509025
06IN,I,6,06_BLANK4_1,0.453948852,5,12.362,0.006,0.01,0.44,0.003892797
03UE,U,3,03BLANK2_1,1.115580451,2.3,13.295,0.0068,0.01,0.44,0.004386475
06IL,I,6,06_BLANK3_1,1.169671089,2.6,12.362,0.0064,0.01,0.44,0.00524183
12UN,U,12,12_blank2_1,2.204842303,4.4,10.755,0.0068,0.03,0.44,0.007170625
06UF,U,6,06_BLANK4_1,0.453948852,3.6,12.362,0.0052,0.02,0.44,0.007277789
06UK,U,6,06_BLANK2_1,1.940741053,5.5,12.362,0.0048,0.04,0.44,0.00734221
09UO,U,9,09_blank_2,3.698312891,2.9,11.726,0.0076,0.03,0.44,0.007378407
12IC,I,12,12_blank4_1,1.707861654,2.6,10.755,0.0064,0.02,0.44,0.007536716
03IF,I,3,03BLANK2_1,1.115580451,3.4,13.295,0.008,0.01,0.32,0.007609788
09IO,I,9,09_blank_3,3.407731164,1.9,11.726,0.007,0.02,0.44,0.007625163
06UH,U,6,06_BLANK2_1,1.940741053,4.8,12.362,0.0054,0.03,0.44,0.007972364
03UC,U,3,03BLANK3_1,-1.088406997,2.2,13.295,0.0068,0,0.44,0.00826227
06IB,I,6,06_BLANK1_1,1.515002553,4.6,12.362,0.007,0.02,0.44,0.008479661
09IL,I,9,09_blank_4,1.901989487,3.4,11.726,0.0058,0.03,0.44,0.008609649
12UO,U,12,12_blank4_1,1.707861654,2.2,10.755,0.006,0.02,0.44,0.00952652
03UH,U,3,03BLANK3_1,-1.088406997,2.6,13.295,0.008,0,0.44,0.009774711
06IM,I,6,06_BLANK5_2,1.225369712,2.8,12.362,0.0054,0.02,0.44,0.010462141
03IN,I,3,03BLANK3_1,-1.088406997,3.7,13.295,0.0082,0.01,0.44,0.010670797
06UA,U,6,06_BLANK3_1,1.169671089,3,12.362,0.005,0.02,0.44,0.010835123
09IA,I,9,09_blank_3,3.407731164,3,11.726,0.007,0.03,0.44,0.010896815
06IK,I,6,06_BLANK2_1,1.940741053,2.9,12.362,0.0066,0.02,0.44,0.011980231
09UE,U,9,09_blank_1,1.85443975,3.1,11.726,0.0074,0.02,0.44,0.011983301
03IE,I,3,03BLANK3_1,-1.088406997,3.2,13.295,0.0062,0.01,0.44,0.012127515
09IE,I,9,09_blank_3,3.407731164,4.1,11.726,0.0056,0.05,0.44,0.012159251
06IH,I,6,06_BLANK1_1,1.515002553,2.7,12.362,0.0052,0.03,0.44,0.012474171
06IO,I,6,06_BLANK2_1,1.940741053,3.4,12.362,0.005,0.04,0.44,0.012706441
03IM,I,3,03BLANK3_1,-1.088406997,3.3,13.295,0.008,0.01,0.44,0.012796393
06UJ,U,6,06_BLANK1_1,1.515002553,4.7,12.362,0.006,0.04,0.44,0.012965484
12IA,I,12,12_blank3_1,1.085460826,2.8,10.755,0.006,0.03,0.44,0.013531484
09UG,U,9,09_blank_3,3.407731164,1.9,11.726,0.0084,0.02,0.44,0.014194535
15UE,U,15,15blank5_1,19.92510803,2.1,10.211,0.0062,0.21,0.61,0.014469344
06ID,I,6,06_BLANK2_1,1.940741053,3.5,12.362,0.0056,0.04,0.44,0.015386932
06UO,U,6,06_BLANK2_1,1.940741053,3.7,12.362,0.006,0.04,0.44,0.015486652
09UL,U,9,09_blank_2,3.698312891,3.8,11.726,0.0072,0.04,0.44,0.015875981
09IB,I,9,09_blank_2,3.698312891,4.5,11.726,0.0068,0.05,0.44,0.016510325
09UM,U,9,09_blank_3,3.407731164,4.5,11.726,0.0068,0.05,0.44,0.016857042
09UD,U,9,09_blank_3,3.407731164,3.7,11.726,0.0064,0.05,0.44,0.017248828
06UC,U,6,06_BLANK1_1,1.515002553,3,12.362,0.007,0.03,0.44,0.017571175
06IG,I,6,06_BLANK3_1,1.169671089,1.9,12.362,0.0058,0.02,0.44,0.017644005
12UI,U,12,12_blank3_1,1.085460826,4.5,10.755,0.0062,0.05,0.44,0.017732626
03UJ,U,3,03BLANK3_1,-1.088406997,2.2,13.295,0.0085,0.01,0.44,0.018348384
18_2IJ,I,18,18_2_18_2Blank1_1,1.233130213,2.5,9.503,0.0054,0.04,0.44,0.018424699
12UF,U,12,12_blank1_1,0.969161452,3,10.755,0.007,0.03,0.44,0.018512498
18_2IG,I,18,18_2_18_2Blank2_1,2.449133617,4,9.503,0.0054,0.07,0.44,0.019026814
03UL,U,3,03BLANK3_1,-1.088406997,2.9,13.295,0.0068,0.01,0.44,0.019104441
09IC,I,9,09_blank_2,3.698312891,2.6,11.726,0.0062,0.05,0.44,0.021683875
09UF,U,9,09_blank_1,1.85443975,4.9,11.726,0.007,0.05,0.44,0.021743088
03UK,U,3,03BLANK3_1,-1.088406997,2.3,13.295,0.0084,0,0.13,0.022082256
09UA,U,9,09_blank_4,1.901989487,4.8,11.726,0.0082,0.04,0.44,0.022350853
18IC,I,18,18_18Blank_2,2.765979574,1.5,9.503,0.0066,0.04,0.44,0.023081051
18_2UO,U,18,18_2_18_2Blank3_1,5.891622128,4.4,9.503,0.0048,0.13,0.44,0.023208772
15UB,U,15,15blank3_1,17.39976699,2.8,10.211,0.0065,0.2,0.61,0.023442689
12IG,I,12,12_blank1_1,0.969161452,2.1,10.755,0.0062,0.03,0.44,0.02368821
06UD,U,6,06_BLANK3_1,1.169671089,1.3,12.362,0.0058,0.02,0.44,0.024040115
12IL,I,12,12_blank3_1,1.085460826,4.4,10.755,0.0052,0.07,0.44,0.024315077
12IN,I,12,12_blank2_1,2.204842303,3.8,10.755,0.007,0.05,0.44,0.024478101
18IJ,I,18,18_18Blank_2,2.765979574,1.7,9.503,0.0064,0.04,0.44,0.024722107
09UC,U,9,09_blank_3,3.407731164,3.2,11.726,0.0072,0.05,0.44,0.025980545
18_2UE,U,18,18_2_18_2Blank2_1,2.449133617,1.5,9.503,0.0058,0.04,0.44,0.027095146
12IO,I,12,12_blank1_1,0.969161452,4.8,10.755,0.0084,0.05,0.44,0.029358778
18IK,I,18,18_18Blank_2,2.765979574,2.4,9.503,0.0066,0.06,0.44,0.030155894
12UE,U,12,12_blank1_1,0.969161452,4.3,10.755,0.007,0.06,0.44,0.030664874
18_2IL,I,18,18_2_18_2Blank2_1,2.449133617,4.4,9.503,0.0058,0.1,0.44,0.030666779
15IG,I,15,15blank1_2,2.943443858,2.6,10.211,0.0055,0.1,0.61,0.033830147
15UO,U,15,15blank1_2,2.943443858,2.7,10.211,0.0055,0.1,0.61,0.034493483
18_2UM,U,18,18_2_18_2Blank1_1,1.233130213,2.6,9.503,0.006,0.06,0.44,0.035710013
18UF,U,18,18_18Blank_2,2.765979574,3.3,9.503,0.0068,0.08,0.44,0.037221615
09UN,U,9,09_blank_1,1.85443975,4.5,11.726,0.0068,0.08,0.44,0.037428908
12UM,U,12,12_blank2_1,2.204842303,3.1,10.755,0.0075,0.06,0.44,0.038633345
12UH,U,12,12_blank3_1,1.085460826,3,10.755,0.0054,0.01,0.05,0.038959065
12UB,U,12,12_blank2_1,2.204842303,2.5,10.755,0.0062,0.06,0.44,0.039142008
18IM,I,18,18_18Blank_1,0.599438298,3.1,9.503,0.0062,0.07,0.44,0.041235122
15UA,U,15,15blank1_2,2.943443858,2.3,10.211,0.0055,0.11,0.61,0.04217953
18UN,U,18,18_18Blank_1,0.599438298,3.8,9.503,0.0066,0.09,0.44,0.04275012
15IC,I,15,15blank6_1,16.5869751,3.6,10.211,0.008,0.21,0.61,0.042868605
15IM,I,15,15blank1_2,2.943443858,1.8,10.211,0.0059,0.09,0.61,0.04407065
15UD,U,15,15blank2_2,10.47263945,1.7,10.211,0.0066,0.14,0.61,0.04485075
18_2UK,U,18,18_2_18_2Blank1_1,1.233130213,1.5,9.503,0.0054,0.06,0.44,0.049132532
18IN,I,18,18_18Blank_1,0.599438298,1.7,9.503,0.0062,0.05,0.44,0.051038047
15UM,U,15,15blank1_2,2.943443858,2.5,10.211,0.0059,0.13,0.61,0.052822065
18UA,U,18,18_18Blank_1,0.599438298,2.8,9.503,0.008,0.07,0.44,0.054620374
18IB,I,18,18_18Blank_1,0.599438298,3.7,9.503,0.0064,0.13,0.44,0.063335922
15IL,I,15,15blank2_2,10.47263945,2.1,10.211,0.005,0.25,0.61,0.068740583
